sample;true;false
то матная паста;[(0, 2, 'B-TYPE'), (3, 9, 'I-TYPE'), (10, 15, 'I-TYPE')];[(0, 2, 'O'), (3, 9, 'I-TYPE'), (10, 15, 'I-TYPE')]
сов;[(0, 3, 'O')];[(0, 3, 'B-TYPE')]
оп;[(0, 2, 'O')];[(0, 2, 'B-TYPE')]
сыи;[(0, 3, 'B-TYPE')];[(0, 3, 'O')]
рте;[(0, 3, 'O')];[(0, 3, 'B-TYPE')]
сок сады вишня;[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 14, 'O')];[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
джениус подскажи;[(0, 7, 'B-BRAND'), (8, 16, 'O')];[(0, 7, 'B-TYPE'), (8, 16, 'O')]
fit kit;[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND')];[(0, 3, 'O'), (4, 7, 'I-BRAND')]
с корицей;[(0, 1, 'O'), (2, 9, 'O')];[(0, 1, 'B-TYPE'), (2, 9, 'O')]
селяно;[(0, 6, 'B-BRAND')];[(0, 6, 'B-TYPE')]
хмели сун;[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')];[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
вода минер;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')];[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]
стекломой комфо;[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')];[(0, 9, 'O'), (10, 15, 'B-BRAND')]
капуста свежий урожай;[(0, 7, 'B-TYPE'), (8, 14, 'O'), (15, 21, 'O')];[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 21, 'O')]
в томатном соусе рыьа;[(0, 1, 'O'), (2, 10, 'O'), (11, 16, 'O'), (17, 21, 'B-TYPE')];[(0, 1, 'O'), (2, 10, 'O'), (11, 16, 'I-TYPE'), (17, 21, 'O')]
магур;[(0, 5, 'B-TYPE')];[(0, 5, 'B-BRAND')]
угле поле;[(0, 4, 'O'), (5, 9, 'O')];[(0, 4, 'O'), (5, 9, 'I-TYPE')]
коые в зернах;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')];[(0, 4, 'O'), (5, 6, 'O'), (7, 13, 'O')]
хоеб тостовый;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')];[(0, 4, 'O'), (5, 13, 'I-TYPE')]
сахаор;[(0, 6, 'B-TYPE')];[(0, 6, 'B-BRAND')]
кукцрузнве палочк э;[(0, 10, 'B-TYPE'), (11, 17, 'I-TYPE'), (18, 19, 'O')];[(0, 10, 'B-BRAND'), (11, 17, 'B-TYPE'), (18, 19, 'O')]
близна;[(0, 6, 'B-TYPE')];[(0, 6, 'O')]
ne moloko;[(0, 2, 'B-BRAND'), (3, 9, 'I-BRAND')];[(0, 2, 'O'), (3, 9, 'O')]
поостоквашино;[(0, 13, 'B-BRAND')];[(0, 13, 'O')]
нектар спды придонья;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 20, 'I-BRAND')];[(0, 6, 'B-TYPE'), (7, 11, 'O'), (12, 20, 'O')]
lpton;[(0, 5, 'B-BRAND')];[(0, 5, 'O')]
малиныч;[(0, 7, 'B-BRAND')];[(0, 7, 'B-TYPE')]
сахйар;[(0, 6, 'B-TYPE')];[(0, 6, 'O')]
бондюэль;[(0, 8, 'B-BRAND')];[(0, 8, 'B-TYPE')]
забава;[(0, 6, 'B-BRAND')];[(0, 6, 'B-TYPE')]
тимыян;[(0, 6, 'B-TYPE')];[(0, 6, 'B-BRAND')]
пармалат;[(0, 8, 'B-BRAND')];[(0, 8, 'B-TYPE')]
вастэко завтр;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')];[(0, 7, 'O'), (8, 13, 'O')]
вода красная ц;[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 14, 'I-BRAND')];[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 14, 'B-BRAND')]
если стельки;[(0, 4, 'O'), (5, 12, 'B-TYPE')];[(0, 4, 'O'), (5, 12, 'O')]
мороженое чистая лин;[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND'), (17, 20, 'I-BRAND')];[(0, 9, 'B-TYPE'), (10, 16, 'O'), (17, 20, 'O')]
кол;[(0, 3, 'B-TYPE')];[(0, 3, 'B-BRAND')]
чпй в пакетиках;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 15, 'O')];[(0, 3, 'O'), (4, 5, 'O'), (6, 15, 'O')]
нигири;[(0, 6, 'B-TYPE')];[(0, 6, 'B-BRAND')]
нжо;[(0, 3, 'B-TYPE')];[(0, 3, 'O')]
rti;[(0, 3, 'O')];[(0, 3, 'B-BRAND')]
neomoloko;[(0, 9, 'B-BRAND')];[(0, 9, 'B-TYPE')]
вода большой обьем;[(0, 4, 'B-TYPE'), (5, 12, 'B-VOLUME'), (13, 18, 'I-VOLUME')];[(0, 4, 'B-TYPE'), (5, 12, 'O'), (13, 18, 'O')]
astor;[(0, 5, 'B-BRAND')];[(0, 5, 'O')]
пат срная;[(0, 3, 'O'), (4, 9, 'O')];[(0, 3, 'B-TYPE'), (4, 9, 'O')]
липецкая вода гизированная;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 26, 'I-TYPE')];[(0, 8, 'B-BRAND'), (9, 13, 'I-TYPE'), (14, 26, 'I-TYPE')]
коь;[(0, 3, 'O')];[(0, 3, 'B-TYPE')]
тертый пармезан;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')];[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
орбит;[(0, 5, 'B-BRAND')];[(0, 5, 'B-TYPE')]

бажная салфека;[(0, 6, 'O'), (7, 14, 'O')];[(0, 6, 'O'), (7, 14, 'I-TYPE')]
sneq;[(0, 4, 'B-BRAND')];[(0, 4, 'O')]
сн;[(0, 2, 'O')];[(0, 2, 'B-TYPE')]
ша;[(0, 2, 'O')];[(0, 2, 'B-TYPE')]
сады придонья для детского;[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'O'), (18, 26, 'O')];[(0, 4, 'O'), (5, 13, 'O'), (14, 17, 'O'), (18, 26, 'O')]
хна fit;[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')];[(0, 3, 'O'), (4, 7, 'B-BRAND')]
fr;[(0, 2, 'O')];[(0, 2, 'B-TYPE')]
эго;[(0, 3, 'O')];[(0, 3, 'B-BRAND')]
сыорк;[(0, 5, 'B-TYPE')];[(0, 5, 'O')]
котекс;[(0, 6, 'B-BRAND')];[(0, 6, 'B-TYPE')]
чоко;[(0, 4, 'B-BRAND')];[(0, 4, 'B-TYPE')]
ернчай;[(0, 6, 'O')];[(0, 6, 'B-TYPE')]
кефир био;[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')];[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
pia;[(0, 3, 'B-BRAND')];[(0, 3, 'O')]
лклэнд;[(0, 6, 'O')];[(0, 6, 'B-TYPE')]
hein;[(0, 4, 'B-BRAND')];[(0, 4, 'O')]
elit;[(0, 4, 'B-BRAND')];[(0, 4, 'O')]
энергит;[(0, 7, 'B-TYPE')];[(0, 7, 'B-BRAND')]
экомил;[(0, 6, 'B-BRAND')];[(0, 6, 'B-TYPE')]
сахзам;[(0, 6, 'B-TYPE')];[(0, 6, 'B-BRAND')]
без пельмени;[(0, 3, 'O'), (4, 12, 'B-TYPE')];[(0, 3, 'O'), (4, 12, 'O')]
melon;[(0, 5, 'B-TYPE')];[(0, 5, 'B-BRAND')]
haas;[(0, 4, 'B-BRAND')];[(0, 4, 'O')]
милоко;[(0, 6, 'B-TYPE')];[(0, 6, 'B-BRAND')]
mms;[(0, 3, 'B-BRAND')];[(0, 3, 'O')]
приправыч желат;[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')];[(0, 9, 'B-BRAND'), (10, 15, 'O')]
идель;[(0, 5, 'B-BRAND')];[(0, 5, 'O')]
сок 2 литра яблочный;[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 20, 'O')];[(0, 3, 'B-TYPE'), (4, 5, 'B-VOLUME'), (6, 11, 'I-VOLUME'), (12, 20, 'B-BRAND')]
дроджди;[(0, 7, 'B-TYPE')];[(0, 7, 'B-BRAND')]
энергить;[(0, 8, 'B-TYPE')];[(0, 8, 'O')]
miv;[(0, 3, 'B-BRAND')];[(0, 3, 'O')]
сгущенный молочн;[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')];[(0, 9, 'O'), (10, 16, 'I-TYPE')]
бумажнве платочки дл носа;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 20, 'O'), (21, 25, 'O')];[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE'), (18, 20, 'O'), (21, 25, 'O')]
чупа чупс;[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')];[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
гу;[(0, 2, 'O')];[(0, 2, 'B-TYPE')]
зйнки;[(0, 5, 'O')];[(0, 5, 'B-TYPE')]
фол;[(0, 3, 'O')];[(0, 3, 'B-TYPE')]
raf;[(0, 3, 'B-BRAND')];[(0, 3, 'O')]
для котлет;[(0, 3, 'O'), (4, 10, 'B-TYPE')];[(0, 3, 'O'), (4, 10, 'O')]
nemoloco;[(0, 8, 'B-BRAND')];[(0, 8, 'B-TYPE')]
шерба;[(0, 5, 'B-TYPE')];[(0, 5, 'B-BRAND')]
buren club;[(0, 5, 'O'), (6, 10, 'O')];[(0, 5, 'O'), (6, 10, 'I-BRAND')]
рулет мясная ф;[(0, 5, 'B-TYPE'), (6, 12, 'O'), (13, 14, 'O')];[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE'), (13, 14, 'I-TYPE')]
женски нбо;[(0, 6, 'O'), (7, 10, 'O')];[(0, 6, 'O'), (7, 10, 'B-BRAND')]
bgr;[(0, 3, 'O')];[(0, 3, 'B-BRAND')]
сыекла;[(0, 6, 'B-TYPE')];[(0, 6, 'O')]
сыинина;[(0, 7, 'B-TYPE')];[(0, 7, 'O')]
свр плав;[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')];[(0, 3, 'O'), (4, 8, 'O')]
coisine;[(0, 7, 'B-BRAND')];[(0, 7, 'B-TYPE')]
тыорожный;[(0, 9, 'B-TYPE')];[(0, 9, 'O')]
cmo;[(0, 3, 'O')];[(0, 3, 'B-BRAND')]
ba houe;[(0, 2, 'O'), (3, 7, 'O')];[(0, 2, 'O'), (3, 7, 'I-BRAND')]
варенье малина;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')];[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
приправыч желати;[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')];[(0, 9, 'B-BRAND'), (10, 16, 'O')]
производство ды;[(0, 12, 'B-BRAND'), (13, 15, 'B-TYPE')];[(0, 12, 'B-TYPE'), (13, 15, 'O')]
масло ра;[(0, 5, 'B-TYPE'), (6, 8, 'O')];[(0, 5, 'B-TYPE'), (6, 8, 'I-TYPE')]
sok;[(0, 3, 'B-TYPE')];[(0, 3, 'B-BRAND')]
доьрый кола без сахара;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE'), (12, 15, 'O'), (16, 22, 'O')];[(0, 6, 'B-TYPE'), (7, 11, 'O'), (12, 15, 'O'), (16, 22, 'O')]
малтна;[(0, 6, 'B-TYPE')];[(0, 6, 'O')]
иасло сли;[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')];[(0, 5, 'B-TYPE'), (6, 9, 'O')]
мистер пропер для полов;[(0, 6, 'B-BRAND'), (7, 13, 'I-BRAND'), (14, 17, 'O'), (18, 23, 'O')];[(0, 6, 'B-BRAND'), (7, 13, 'B-BRAND'), (14, 17, 'O'), (18, 23, 'O')]
сыр бе;[(0, 3, 'B-TYPE'), (4, 6, 'B-BRAND')];[(0, 3, 'B-TYPE'), (4, 6, 'O')]



сады придо;[(0, 4, 'B-BRAND'), (5, 10, 'I-BRAND')];[(0, 4, 'O'), (5, 10, 'O')]
холоы;[(0, 5, 'O')];[(0, 5, 'B-TYPE')]
свл;[(0, 3, 'O')];[(0, 3, 'B-TYPE')]
твердое мы;[(0, 7, 'B-TYPE'), (8, 10, 'I-TYPE')];[(0, 7, 'O'), (8, 10, 'O')]
прмлонья;[(0, 8, 'B-BRAND')];[(0, 8, 'B-TYPE')]
дошира;[(0, 6, 'B-BRAND')];[(0, 6, 'B-TYPE')]
скумбрия пингвин;[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')];[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
сады прид;[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')];[(0, 4, 'B-TYPE'), (5, 9, 'O')]
ууа;[(0, 3, 'O')];[(0, 3, 'B-TYPE')]
ситно кум;[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')];[(0, 5, 'B-BRAND'), (6, 9, 'O')]
оес;[(0, 3, 'O')];[(0, 3, 'B-TYPE')]
напиток вкус на;[(0, 7, 'B-TYPE'), (8, 12, 'O'), (13, 15, 'O')];[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 15, 'O')]
рсоря;[(0, 5, 'O')];[(0, 5, 'B-TYPE')]
сахап;[(0, 5, 'B-TYPE')];[(0, 5, 'B-BRAND')]
творог моч цена;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')];[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND'), (11, 15, 'O')]
коворода сотйнк;[(0, 8, 'O'), (9, 15, 'O')];[(0, 8, 'B-BRAND'), (9, 15, 'O')]
мешки для мусора 120 л;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O'), (17, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')];[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE'), (10, 16, 'I-TYPE'), (17, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]
доиры;[(0, 5, 'O')];[(0, 5, 'B-TYPE')]
тайд;[(0, 4, 'B-BRAND')];[(0, 4, 'B-TYPE')]
центрум обложки;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')];[(0, 7, 'O'), (8, 15, 'B-TYPE')]
сок спды придонья;[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 17, 'I-BRAND')];[(0, 3, 'B-TYPE'), (4, 8, 'O'), (9, 17, 'O')]
хн;[(0, 2, 'B-TYPE')];[(0, 2, 'O')]
птбу;[(0, 4, 'O')];[(0, 4, 'B-TYPE')]
гумел;[(0, 5, 'O')];[(0, 5, 'B-TYPE')]
вода питьевая большой обьем;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 21, 'B-VOLUME'), (22, 27, 'I-VOLUME')];[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 21, 'O'), (22, 27, 'O')]
double;[(0, 6, 'B-TYPE')];[(0, 6, 'B-BRAND')]
курица филе бедро;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 17, 'I-TYPE')];[(0, 6, 'B-TYPE'), (7, 11, 'O'), (12, 17, 'O')]
па;[(0, 2, 'O')];[(0, 2, 'B-TYPE')]
пармезан;[(0, 8, 'B-TYPE')];[(0, 8, 'B-BRAND')]
темто для пе;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 12, 'O')];[(0, 5, 'B-BRAND'), (6, 9, 'O'), (10, 12, 'O')]
de0licat;[(0, 8, 'B-BRAND')];[(0, 8, 'O')]
чмк шпикачки;[(0, 3, 'B-BRAND'), (4, 12, 'B-TYPE')];[(0, 3, 'O'), (4, 12, 'B-TYPE')]
elix impr;[(0, 4, 'O'), (5, 9, 'O')];[(0, 4, 'B-BRAND'), (5, 9, 'O')]
пюрешки кашка для сна;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 17, 'O'), (18, 21, 'O')];[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND'), (14, 17, 'O'), (18, 21, 'O')]
сыробогатов;[(0, 11, 'B-BRAND')];[(0, 11, 'B-TYPE')]
фен ирит;[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')];[(0, 3, 'B-BRAND'), (4, 8, 'B-TYPE')]
тхк лепеш;[(0, 3, 'B-BRAND'), (4, 9, 'B-TYPE')];[(0, 3, 'O'), (4, 9, 'O')]
чмк шпикачк;[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE')];[(0, 3, 'O'), (4, 11, 'B-TYPE')]
omsa;[(0, 4, 'B-BRAND')];[(0, 4, 'O')]
кофе 3 в р;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 8, 'O'), (9, 10, 'O')];[(0, 4, 'B-TYPE'), (5, 6, 'B-BRAND'), (7, 8, 'O'), (9, 10, 'O')]
хна fi;[(0, 3, 'B-TYPE'), (4, 6, 'B-BRAND')];[(0, 3, 'O'), (4, 6, 'O')]
leb;[(0, 3, 'B-TYPE')];[(0, 3, 'O')]
