sample,annotation
тверд мы,"[(0, 5, 'B-TYPE'), (6, 8, 'I-TYPE')]"
мыло жидкое,"[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]"
лапша доширак,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]"
доширвк бульон,"[(0, 7, 'B-BRAND'), (7, 13, 'B-TYPE')]"
доширвк соевый соус,"[(0, 7, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 18, 'I-TYPE')]"
пингвин сельд,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]"
пингвин селедка,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]"
сады придонбя,"[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]"
сок сады придонья,"[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]"
ситно макароны,"[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE')]"
вкус ,"[(0, 4, 'O')]"
сахар песок ,"[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]"
мусорные мешки,"[(0, 8, 'O'), (9, 14, 'B-TYPE')]"
порошок тайд,"[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]"
тайд пятновыводитель,"[(0, 4, 'B-BRAND'), (5, 20, 'B-TYPE')]"
центрум витамины,"[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]"
центрум облодка,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]"
сок спиды придонья,"[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]"
больша вода,"[(0, 6, 'B-VOLUME'), (7, 11, 'B-TYPE')]"
double ,"[(0, 6, 'B-TYPE')]"
doublee,"[(0, 7, 'B-TYPE')]"
филе грудка,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]"
кура грудь,"[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]"
бедро филк,"[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]"
ср пармезан,"[(0, 2, 'B-TYPE'), (3, 11, 'I-TYPE')]"
пармезан тертый,"[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]"
тесто,"[(0, 5, 'B-TYPE')]"
дрожжевое тесто,"[(0, 9, 'O'), (10, 15, 'B-TYPE')]"
слоеное тесто,"[(0, 7, 'O'), (8, 13, 'B-TYPE')]"
delicat,"[(0, 7, 'B-BRAND')]"
чмк сосиськи,"[(0, 3, 'B-BRAND'), (4, 12, 'B-TYPE')]"
чмк вырезка,"[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE')]"
пюрешки кашка ,"[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]"
кашка для сна,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 3, 'O')]"
сыр cсыробогатов,"[(0, 3, 'B-TYPE'), (4, 16, 'B-BRAND')]"
косичка сыробогатов,"[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]"
ирит точтер,"[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]"
ирит фен щетка,"[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]"
тхк лепешка,"[(0, 3, 'B-BRAND'), (4, 11, 'B-TYPE')]"
тхк хлеб,"[(0, 3, 'B-BRAND'), (4, 8, 'B-TYPE')]"
тхк лаваш,"[(0, 3, 'B-BRAND'), (4, 9, 'B-TYPE')]"
omsa,"[(0, 4, 'B-BRAND')]"
omsaa,"[(0, 5, 'B-BRAND')]"
omsa колготеи,"[(0, 4, 'B-BRAND'), (5, 13, 'B-TYPE')]"
кофе 3 в р,"[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 8, 'O'), (9, 10, 'O')]"
кофе 3 в 1,"[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 8, 'O'), (9, 10, 'O')]"
кофе 3в1,"[(0, 4, 'B-TYPE'), (5, 8, 'O')]"
fi краска,"[(0, 2, 'B-BRAND'), (3, 9, 'B-TYPE')]"
fi черная,"[(0, 2, 'B-BRAND'), (3, 9, 'O')]"
leb,"[(0, 3, 'B-TYPE')]"